id,language,category,prompt,response,faithfulness,relevance,fluency,completeness,safety,hallucination_type,feedback,annotator
MIR-F1-EN,EN,factual,"What causes rainbows?","Rainbows are caused by the refraction, dispersion, and reflection of sunlight inside water droplets. Each color bends at a slightly different angle, creating the visible spectrum.",5,5,5,5,5,none,"Accurate and complete scientific explanation. Covers refraction, dispersion and reflection correctly.",renata
MIR-F1-PT,PT,factual,"O que causa arco-íris?","Os arco-íris são causados pela refração, dispersão e reflexão da luz solar dentro de gotículas de água. Cada cor se dobra em um ângulo ligeiramente diferente, criando o espectro visível.",5,5,5,5,5,none,"Explicação científica precisa e completa. Cobre refração, dispersão e reflexão corretamente.",renata
MIR-F2-EN,EN,factual,"What is the boiling point of water at sea level?","Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at sea level under standard atmospheric pressure.",5,5,5,5,5,none,"Accurate with both Celsius and Fahrenheit. Correctly specifies sea level condition.",renata
MIR-F2-PT,PT,factual,"Qual é o ponto de ebulição da água ao nível do mar?","A água ferve a 100 graus Celsius ao nível do mar em condições normais de pressão atmosférica.",5,5,5,4,5,none,"Precisa e correta. A omissão da escala Fahrenheit é aceitável em contexto PT/BR mas reduz levemente a completeness comparado à versão EN que cobre ambas as escalas.",renata
MIR-F3-EN,EN,factual,"Who painted the Mona Lisa?","The Mona Lisa was painted by Leonardo da Vinci, most likely between 1503 and 1519. It is currently displayed at the Louvre Museum in Paris.",5,5,5,5,5,none,"Correct attribution with accurate dates and location. Fully faithful.",renata
MIR-F3-PT,PT,factual,"Quem pintou a Mona Lisa?","A Mona Lisa foi pintada por Leonardo da Vinci, provavelmente entre 1503 e 1519. Atualmente está exposta no Museu do Louvre, em Paris.",5,5,5,5,5,none,"Atribuição correta com datas e localização precisas. Totalmente fiel.",renata
MIR-F4-EN,EN,factual,"What is the capital of Brazil?","The capital of Brazil is Brasília, which became the capital in 1960, replacing Rio de Janeiro.",5,5,5,4,5,extrinsic,"Correct answer with useful historical context about the capital change. Slightly low completeness — does not mention it was purpose-built. The historical addition about replacing Rio de Janeiro is extrinsic but factually correct and helpful.",renata
MIR-F4-PT,PT,factual,"Qual é a capital do Brasil?","A capital do Brasil é Brasília, que se tornou capital em 1960, substituindo o Rio de Janeiro.",5,5,5,5,5,none,"Resposta correta com contexto histórico relevante sobre a mudança da capital. Completa e fiel.",renata
MIR-R1-EN,EN,reasoning,"If a shirt costs $25 and is on sale for 40% off, what is the final price?","A 40% discount on $25 means you save $10 (40% of $25). The final price is $25 - $10 = $15.",5,5,5,5,5,none,"Correct reasoning with clear step-by-step calculation. Shows the work transparently.",renata
MIR-R1-PT,PT,reasoning,"Se uma camisa custa 25€ e está com 40% de desconto, qual é o preço final?","Um desconto de 40% sobre 25€ significa uma economia de 10€ (40% de 25€). O preço final é 25€ - 10€ = 15€.",5,5,5,5,5,none,"Raciocínio correto com cálculo passo a passo claro. Totalmente fiel e completo.",renata
MIR-R2-EN,EN,reasoning,"A recipe needs 3 eggs for 6 servings. How many eggs are needed for 10 servings?","For 10 servings you need 5 eggs. The ratio is 3 eggs per 6 servings, which is 0.5 eggs per serving. 10 x 0.5 = 5 eggs.",5,5,5,5,5,none,"Correct proportional reasoning. Shows the unit rate method clearly.",renata
